"","x"
"1",-5494.99476953234
"2",-5496.0848280537
"3",-5501.25868079446
"4",-5485.80246720079
"5",-5476.73640428999
"6",-5447.22887397715
"7",-5375.19640054574
"8",-5294.67639715984
"9",-5183.566085084
"10",-5048.80660576796
"11",-4909.04390678033
"12",-4744.87960646068
"13",-4579.56628409392
"14",-4452.84748587584
"15",-4336.45187812436
"16",-4252.42062956563
"17",-4190.50631234952
"18",-4144.31124084814
"19",-4109.63014768497
"20",-4082.60562192818
"21",-4063.07619426966
"22",-4046.3791574987
"23",-4033.20631725694
"24",-4022.57884847342
"25",-4013.7232958404
"26",-3998.19069204852
"27",-3963.86781427789
"28",-3928.84096936068
"29",-3914.01167493955
"30",-3898.95700536711
"31",-3887.37903299387
"32",-3864.79924759177
"33",-3848.84495057647
"34",-3831.85235975451
"35",-3826.40932359186
"36",-3821.85820483468
"37",-3817.73296790322
"38",-3814.0803433938
"39",-3810.94574344803
"40",-3808.09696585805
"41",-3805.24708376083
