"","x"
"1",-5495.65679147071
"2",-5506.49606775288
"3",-5487.15959093215
"4",-5488.33756094292
"5",-5473.4584618126
"6",-5436.54432929572
"7",-5369.74208443118
"8",-5286.10558042748
"9",-5157.89777626555
"10",-5013.26736131332
"11",-4871.29703114169
"12",-4721.0504306762
"13",-4568.80009958546
"14",-4456.05775863251
"15",-4350.74263572213
"16",-4265.7382988527
"17",-4198.73121954651
"18",-4151.03512058284
"19",-4115.06345310286
"20",-4085.78712800455
"21",-4064.25756322183
"22",-4047.80838681053
"23",-4034.12030260606
"24",-4023.21222949636
"25",-4013.9876926398
"26",-3998.48742764829
"27",-3962.85632615324
"28",-3925.28757088417
"29",-3905.19333385024
"30",-3897.54108584368
"31",-3891.20006887497
"32",-3885.32020215301
"33",-3880.90152958294
"34",-3876.89995786031
"35",-3873.5224208555
"36",-3870.50952881749
"37",-3867.76604115462
"38",-3865.39626968085
"39",-3863.5400406791
"40",-3861.68635219356
"41",-3859.86881891586
