"","x"
"1",-5499.7107144197
"2",-5500.59639955626
"3",-5508.84542492776
"4",-5488.11359968134
"5",-5472.38440731804
"6",-5442.27006954784
"7",-5394.2665286375
"8",-5310.72174802486
"9",-5200.60083972333
"10",-5083.26610099028
"11",-4916.30015952872
"12",-4745.04821663938
"13",-4592.0415299624
"14",-4443.12069033114
"15",-4325.31562027285
"16",-4246.22373507231
"17",-4184.45567024184
"18",-4140.55270813268
"19",-4106.55516223308
"20",-4080.84479081327
"21",-4060.57414725369
"22",-4045.48767938384
"23",-4032.60267672727
"24",-4022.56820929638
"25",-4014.09932476452
"26",-4006.02774438127
"27",-3987.10216213789
"28",-3915.06024261509
"29",-3905.57290329966
"30",-3896.74967146302
"31",-3887.41022334829
"32",-3873.25426893608
"33",-3853.74964391181
"34",-3831.81412916578
"35",-3826.42724925001
"36",-3821.60136032732
"37",-3817.29553608831
"38",-3813.63763035379
"39",-3809.89493877266
"40",-3805.99001235012
"41",-3800.7382834391
