"","x"
"1",-5494.35449838174
"2",-5505.50716738483
"3",-5511.66689606548
"4",-5493.37108265525
"5",-5472.14054999593
"6",-5446.67358337909
"7",-5386.19930535803
"8",-5309.37360201397
"9",-5201.45255973703
"10",-5074.49220450426
"11",-4917.12434835092
"12",-4746.91845058403
"13",-4579.59755735447
"14",-4439.36488020941
"15",-4320.49207316732
"16",-4243.6253809354
"17",-4183.58811378104
"18",-4140.20673117978
"19",-4106.52596953317
"20",-4080.798553506
"21",-4060.8753981393
"22",-4045.03291979549
"23",-4032.60084366295
"24",-4022.69811229194
"25",-4013.6399685348
"26",-4005.92650010666
"27",-3982.95957652344
"28",-3927.22474352199
"29",-3908.44246040582
"30",-3896.50952843391
"31",-3887.62518963718
"32",-3868.32975822439
"33",-3847.24612194514
"34",-3832.28300451446
"35",-3826.43605538807
"36",-3821.45638681337
"37",-3817.51327634572
"38",-3813.59351979683
"39",-3810.11372721258
"40",-3806.02348133918
"41",-3801.08874294845
