"","x"
"1",-5506.82680365216
"2",-5506.45885998201
"3",-5482.40955843269
"4",-5493.77160933856
"5",-5473.11138873332
"6",-5442.82322995998
"7",-5385.57965836866
"8",-5303.8124261709
"9",-5195.82601725231
"10",-5061.59165035352
"11",-4914.99574314208
"12",-4748.32767945679
"13",-4582.21688661096
"14",-4444.42584127559
"15",-4328.02472250558
"16",-4250.85753759712
"17",-4181.63874906713
"18",-4142.13398230941
"19",-4106.38260000107
"20",-4081.28057468792
"21",-4061.57996007283
"22",-4045.3444104391
"23",-4033.05647305987
"24",-4022.1584488158
"25",-4013.50495311651
"26",-4004.90667341217
"27",-3965.10542736087
"28",-3925.52401673829
"29",-3917.41441632697
"30",-3896.80219710103
"31",-3889.1172091692
"32",-3865.98041212777
"33",-3847.34004197379
"34",-3831.85564991972
"35",-3826.69307902646
"36",-3821.50138775507
"37",-3817.48697533354
"38",-3813.60577008318
"39",-3810.12354289519
"40",-3806.78620225345
"41",-3802.44360724534
