"","x"
"1",-5493.02091196462
"2",-5502.79555858844
"3",-5485.63731197414
"4",-5491.10372645002
"5",-5472.58205179591
"6",-5439.54332119238
"7",-5372.54879471058
"8",-5287.40448715059
"9",-5156.35904872993
"10",-5015.43059496591
"11",-4874.22554280014
"12",-4721.155984037
"13",-4569.1994906101
"14",-4460.52253927497
"15",-4352.46628376207
"16",-4263.09518593662
"17",-4198.53700918173
"18",-4150.42044668853
"19",-4115.83351782051
"20",-4086.03576810382
"21",-4064.12934725327
"22",-4047.6064686224
"23",-4034.24629769978
"24",-4023.06971123391
"25",-4014.58346052869
"26",-4002.18797968967
"27",-3958.60248953397
"28",-3928.61417378444
"29",-3905.22835150867
"30",-3897.59961223715
"31",-3891.15067069522
"32",-3885.3650447678
"33",-3880.97616511309
"34",-3877.0233540645
"35",-3873.48347458855
"36",-3870.53748236226
"37",-3867.75824514703
"38",-3865.47558456841
"39",-3863.52859116574
"40",-3861.63773138106
"41",-3859.85562967896
